feature_set,depth,learning_rate,l2_reg,val_dir_acc,val_r2,val_mae,test_dir_acc,test_r2,test_mae,total_return,sharpe,max_drawdown,win_rate
price_only,4,0.03,3.0,0.5024,-0.0784,0.0322,0.4764,-0.0145,0.0205,0.06,0.3778,-0.3723,0.2654
all_features,8,0.05,10.0,0.5024,-0.0677,0.0323,0.5142,-0.0421,0.0205,-0.0092,0.2116,-0.4028,0.2891
all_features,8,0.01,5.0,0.5024,-0.0228,0.0316,0.5094,-0.0115,0.0202,0.0482,0.3694,-0.4638,0.3934
all_features,8,0.03,1.0,0.5024,-0.0954,0.0328,0.4811,-0.0603,0.0207,0.0941,0.4628,-0.3869,0.2844
price_vader,6,0.03,1.0,0.4976,-0.0788,0.0323,0.5,-0.0831,0.0208,0.0184,0.2658,-0.3639,0.2844
price_finbert,2,0.01,10.0,0.4976,-0.0079,0.0314,0.5472,-0.0131,0.0203,0.0044,0.3103,-0.4843,0.4739
price_finbert,2,0.03,5.0,0.4976,-0.0402,0.032,0.4528,-0.0212,0.0205,0.1144,0.5077,-0.3494,0.3175
price_only,3,0.05,5.0,0.4976,-0.0969,0.0323,0.4906,-0.0242,0.0205,0.0559,0.37,-0.2885,0.2701
price_finbert,6,0.03,3.0,0.4976,-0.0883,0.0327,0.4764,-0.0378,0.0205,0.068,0.3973,-0.385,0.2607
all_features,6,0.01,10.0,0.4976,-0.0149,0.0314,0.5566,-0.0101,0.0203,-0.0384,0.2211,-0.543,0.4692
all_features,2,0.05,1.0,0.4976,-0.0557,0.0319,0.4764,-0.0442,0.0206,-0.2304,-0.4619,-0.4631,0.3081
price_only,4,0.05,3.0,0.4976,-0.1265,0.0326,0.5283,-0.032,0.0204,-0.0188,0.1787,-0.4434,0.2749
price_finbert,4,0.05,1.0,0.4976,-0.11,0.0328,0.4434,-0.0625,0.021,0.1684,0.6262,-0.4014,0.2938
price_roberta,3,0.05,5.0,0.4976,-0.1175,0.0329,0.5189,-0.0393,0.0205,-0.162,-0.2124,-0.4563,0.3033
price_roberta,2,0.05,3.0,0.4976,-0.1177,0.0328,0.5142,-0.0015,0.0203,-0.2766,-0.569,-0.4691,0.3033
price_finbert,3,0.05,5.0,0.4976,-0.0747,0.0324,0.467,-0.034,0.0207,0.0436,0.3373,-0.3518,0.2796
price_only,6,0.03,3.0,0.4976,-0.1027,0.0327,0.4906,-0.0615,0.0208,-0.138,-0.1708,-0.4197,0.2796
price_only,4,0.05,5.0,0.4976,-0.1178,0.0326,0.4953,-0.0437,0.0207,0.0144,0.2621,-0.3032,0.2749
price_roberta,4,0.05,10.0,0.4929,-0.1255,0.0331,0.5283,-0.034,0.0204,-0.0323,0.1491,-0.3719,0.2891
price_finbert,3,0.05,10.0,0.4929,-0.0702,0.0324,0.4811,-0.0252,0.0206,0.0815,0.4322,-0.3447,0.2796
all_features,6,0.03,5.0,0.4929,-0.0664,0.0322,0.4623,-0.0397,0.0204,-0.0313,0.1323,-0.4267,0.2796
price_finbert,8,0.01,1.0,0.4929,-0.0405,0.0319,0.4623,-0.0312,0.0204,0.0356,0.3227,-0.2281,0.3033
price_roberta,3,0.05,1.0,0.4929,-0.1409,0.0332,0.5,-0.0364,0.0206,-0.1985,-0.3578,-0.4393,0.2654
price_finbert,6,0.01,3.0,0.4929,-0.031,0.0317,0.5047,-0.0247,0.0204,-0.1173,-0.0769,-0.5128,0.3081
price_roberta,2,0.05,10.0,0.4929,-0.0855,0.0322,0.5047,-0.0117,0.0203,-0.3281,-0.7315,-0.4928,0.327
price_roberta,3,0.03,1.0,0.4929,-0.1078,0.0326,0.5283,-0.0217,0.0204,-0.187,-0.288,-0.4724,0.2938
price_finbert,4,0.03,3.0,0.4929,-0.0856,0.0325,0.467,-0.0281,0.0206,-0.042,0.1172,-0.3869,0.2796
price_roberta,6,0.01,1.0,0.4929,-0.057,0.0322,0.4858,-0.0323,0.0204,-0.0632,0.0626,-0.4327,0.3081
price_only,2,0.05,5.0,0.4929,-0.0996,0.0324,0.5283,-0.0034,0.0202,-0.0665,0.0433,-0.3925,0.2938
price_roberta,4,0.01,3.0,0.4929,-0.0211,0.0316,0.4906,-0.0212,0.0204,0.0175,0.3068,-0.4843,0.3744
price_finbert,8,0.03,5.0,0.4929,-0.0727,0.0323,0.4858,-0.0314,0.0204,-0.0344,0.129,-0.4474,0.2749
price_finbert,6,0.03,5.0,0.4929,-0.0737,0.0323,0.5094,-0.0278,0.0204,-0.0445,0.1026,-0.4149,0.2796
price_finbert,2,0.03,1.0,0.4929,-0.0517,0.0321,0.4764,-0.0288,0.0206,-0.0878,-0.0319,-0.2912,0.2986
price_only,6,0.01,10.0,0.4929,-0.0223,0.0315,0.5,-0.0204,0.0203,-0.0683,0.0631,-0.3979,0.3318
all_features,2,0.03,1.0,0.4929,-0.0527,0.032,0.4858,-0.032,0.0205,-0.2645,-0.4996,-0.4514,0.3412
price_only,6,0.01,1.0,0.4929,-0.044,0.0319,0.4717,-0.0414,0.0205,-0.0744,0.0327,-0.3458,0.3081
price_vader,6,0.01,5.0,0.4929,-0.0175,0.0315,0.5142,-0.0209,0.0204,0.2842,0.8355,-0.3762,0.346
price_vader,3,0.05,3.0,0.4929,-0.0988,0.0325,0.5236,-0.0331,0.0203,-0.1253,-0.1465,-0.4051,0.2938
price_roberta,6,0.05,10.0,0.4929,-0.1271,0.0331,0.5425,-0.043,0.0203,-0.1368,-0.1431,-0.3831,0.2844
price_roberta,6,0.01,5.0,0.4929,-0.0291,0.0318,0.5,-0.027,0.0203,-0.0787,0.0541,-0.4104,0.3365
price_finbert,2,0.05,10.0,0.4929,-0.0574,0.0323,0.4528,-0.0224,0.0205,-0.0091,0.2091,-0.3498,0.3081
price_finbert,2,0.03,3.0,0.4929,-0.045,0.0321,0.4528,-0.0247,0.0205,0.0222,0.2921,-0.3412,0.3128
price_vader,6,0.05,10.0,0.4929,-0.0796,0.0326,0.4717,-0.0635,0.0208,0.1111,0.5114,-0.3638,0.2796
price_roberta,2,0.03,5.0,0.4929,-0.0669,0.032,0.5094,-0.0143,0.0203,-0.1854,-0.2228,-0.422,0.3744
price_roberta,4,0.01,5.0,0.4929,-0.0202,0.0316,0.5047,-0.0198,0.0203,-0.1614,-0.1377,-0.5197,0.3791
price_roberta,3,0.03,3.0,0.4929,-0.1007,0.0326,0.4953,-0.0254,0.0203,-0.2273,-0.415,-0.4542,0.3128
