feature_set,depth,learning_rate,l2_reg,val_dir_acc,val_r2,val_mae,test_dir_acc,test_r2,test_mae
price_roberta,3,0.01,5.0,0.5213,-0.0024,0.0312,0.5472,-0.0017,0.0202
price_roberta,3,0.01,10.0,0.5213,-0.0024,0.0312,0.5472,-0.0019,0.0202
price_roberta,3,0.03,1.0,0.5213,-0.0027,0.0312,0.5472,-0.0014,0.0202
price_roberta,3,0.03,3.0,0.5213,-0.0026,0.0312,0.5472,-0.0016,0.0202
price_roberta,3,0.03,5.0,0.5213,-0.0026,0.0312,0.5472,-0.0016,0.0202
price_roberta,3,0.03,10.0,0.5213,-0.0021,0.0312,0.5472,-0.0028,0.0202
price_finbert,8,0.01,3.0,0.5213,-0.0021,0.0312,0.5472,-0.0019,0.0202
price_finbert,8,0.01,5.0,0.5213,-0.0025,0.0312,0.5472,-0.0019,0.0202
price_roberta,3,0.05,5.0,0.5213,-0.0026,0.0312,0.5472,-0.0015,0.0202
price_roberta,3,0.05,10.0,0.5213,-0.0026,0.0312,0.5472,-0.0017,0.0202
price_finbert,2,0.01,3.0,0.5213,-0.0024,0.0312,0.5472,-0.0022,0.0202
price_roberta,4,0.01,3.0,0.5213,-0.0023,0.0312,0.5472,-0.0019,0.0202
price_roberta,4,0.01,5.0,0.5213,-0.0025,0.0312,0.5472,-0.0017,0.0202
all_features,2,0.01,3.0,0.5213,-0.0023,0.0312,0.5472,-0.0025,0.0202
price_roberta,4,0.03,1.0,0.5213,-0.0006,0.0312,0.5472,-0.0013,0.0202
price_roberta,4,0.03,3.0,0.5213,-0.0014,0.0312,0.5472,-0.0018,0.0202
price_roberta,4,0.03,5.0,0.5213,-0.0004,0.0312,0.5472,-0.0016,0.0202
price_roberta,4,0.03,10.0,0.5213,-0.0014,0.0312,0.5472,-0.0041,0.0202
price_roberta,4,0.05,5.0,0.5213,-0.0022,0.0312,0.5472,-0.0033,0.0202
price_roberta,2,0.03,1.0,0.5213,-0.0026,0.0312,0.5472,-0.0016,0.0202
price_roberta,2,0.03,3.0,0.5213,-0.0026,0.0312,0.5472,-0.0016,0.0202
price_roberta,2,0.03,5.0,0.5213,-0.0026,0.0312,0.5472,-0.0016,0.0202
price_roberta,6,0.01,5.0,0.5213,-0.0025,0.0312,0.5472,-0.0017,0.0202
price_roberta,6,0.01,10.0,0.5213,-0.0025,0.0312,0.5472,-0.002,0.0202
price_roberta,6,0.03,1.0,0.5213,-0.0027,0.0312,0.5472,-0.0017,0.0202
price_roberta,6,0.03,3.0,0.5213,-0.0035,0.0312,0.5472,-0.0019,0.0202
price_roberta,4,0.01,1.0,0.5213,-0.0013,0.0312,0.5472,-0.002,0.0202
price_finbert,2,0.01,5.0,0.5213,-0.0025,0.0312,0.5472,-0.0022,0.0202
price_finbert,2,0.01,10.0,0.5213,-0.0025,0.0312,0.5472,-0.0017,0.0202
price_finbert,4,0.05,10.0,0.5213,-0.0023,0.0312,0.5472,-0.0019,0.0202
price_finbert,6,0.01,1.0,0.5213,-0.0027,0.0312,0.5472,-0.0019,0.0202
price_finbert,6,0.01,3.0,0.5213,-0.0024,0.0312,0.5472,-0.0026,0.0202
price_finbert,6,0.01,5.0,0.5213,-0.0023,0.0312,0.5472,-0.0023,0.0202
price_finbert,6,0.01,10.0,0.5213,-0.0024,0.0312,0.5472,-0.0015,0.0202
price_finbert,6,0.03,3.0,0.5213,-0.0024,0.0312,0.5472,-0.0022,0.0202
price_finbert,6,0.03,5.0,0.5213,-0.0021,0.0312,0.5472,-0.0021,0.0202
price_finbert,6,0.03,10.0,0.5213,-0.0023,0.0312,0.5472,-0.0018,0.0202
price_finbert,6,0.05,3.0,0.5213,-0.0024,0.0312,0.5472,-0.0025,0.0202
price_finbert,6,0.05,5.0,0.5213,-0.0019,0.0312,0.5472,-0.0023,0.0202
price_finbert,6,0.05,10.0,0.5213,-0.0009,0.0312,0.5472,0.0001,0.0202
price_finbert,3,0.03,3.0,0.5213,-0.0026,0.0312,0.5472,-0.0017,0.0202
price_roberta,2,0.05,3.0,0.5213,-0.0026,0.0312,0.5472,-0.0015,0.0202
price_finbert,3,0.03,10.0,0.5213,-0.0024,0.0312,0.5472,-0.0018,0.0202
price_finbert,8,0.01,10.0,0.5213,-0.0019,0.0312,0.5472,-0.0026,0.0202
price_finbert,8,0.03,5.0,0.5213,-0.0012,0.0312,0.5472,-0.006,0.0202
price_finbert,8,0.03,10.0,0.5213,-0.0001,0.0311,0.5472,-0.003,0.0202
price_finbert,8,0.05,3.0,0.5213,-0.0024,0.0312,0.5472,-0.0004,0.0202
price_finbert,8,0.05,10.0,0.5213,-0.0001,0.0312,0.5472,-0.0021,0.0202
price_roberta,2,0.01,1.0,0.5213,-0.0025,0.0312,0.5472,-0.0017,0.0202
price_roberta,2,0.01,3.0,0.5213,-0.0025,0.0312,0.5472,-0.0017,0.0202
price_roberta,2,0.01,5.0,0.5213,-0.0025,0.0312,0.5472,-0.0017,0.0202
price_roberta,2,0.01,10.0,0.5213,-0.0025,0.0312,0.5472,-0.0018,0.0202
price_finbert,4,0.05,1.0,0.5213,-0.0029,0.0312,0.5472,-0.0022,0.0202
